scenario,mechanism,year,bundle_days
active_denominator_any_coverage,Coherent,2000,4
active_denominator_any_coverage,Coherent,2001,1
active_denominator_any_coverage,Coherent,2002,9
active_denominator_any_coverage,Coherent,2003,11
active_denominator_any_coverage,Coherent,2004,4
active_denominator_any_coverage,Coherent,2005,7
active_denominator_any_coverage,Coherent,2006,14
active_denominator_any_coverage,Coherent,2007,7
active_denominator_any_coverage,Coherent,2008,1
active_denominator_any_coverage,Coherent,2009,9
active_denominator_any_coverage,Coherent,2010,69
active_denominator_any_coverage,Coherent,2011,11
active_denominator_any_coverage,Coherent,2012,6
active_denominator_any_coverage,Coherent,2013,9
active_denominator_any_coverage,Coherent,2014,5
active_denominator_any_coverage,Coherent,2015,21
active_denominator_any_coverage,Coherent,2016,106
active_denominator_any_coverage,Coherent,2017,50
active_denominator_any_coverage,Coherent,2018,55
active_denominator_any_coverage,Coherent,2019,100
active_denominator_any_coverage,Coherent,2020,84
active_denominator_any_coverage,Coherent,2021,36
active_denominator_any_coverage,Coherent,2022,87
active_denominator_any_coverage,Coherent,2023,176
active_denominator_any_coverage,Coherent,2024,66
active_denominator_any_coverage,Dipole,2000,12
active_denominator_any_coverage,Dipole,2001,10
active_denominator_any_coverage,Dipole,2002,18
active_denominator_any_coverage,Dipole,2003,18
active_denominator_any_coverage,Dipole,2004,11
active_denominator_any_coverage,Dipole,2005,16
active_denominator_any_coverage,Dipole,2006,14
active_denominator_any_coverage,Dipole,2007,9
active_denominator_any_coverage,Dipole,2008,3
active_denominator_any_coverage,Dipole,2009,4
active_denominator_any_coverage,Dipole,2010,39
active_denominator_any_coverage,Dipole,2011,7
active_denominator_any_coverage,Dipole,2012,23
active_denominator_any_coverage,Dipole,2013,30
active_denominator_any_coverage,Dipole,2014,6
active_denominator_any_coverage,Dipole,2015,23
active_denominator_any_coverage,Dipole,2016,20
active_denominator_any_coverage,Dipole,2017,26
active_denominator_any_coverage,Dipole,2018,17
active_denominator_any_coverage,Dipole,2019,36
active_denominator_any_coverage,Dipole,2020,38
active_denominator_any_coverage,Dipole,2021,42
active_denominator_any_coverage,Dipole,2022,23
active_denominator_any_coverage,Dipole,2023,40
active_denominator_any_coverage,Dipole,2024,7
active_denominator_min50pct_coverage,Coherent,2000,0
active_denominator_min50pct_coverage,Coherent,2001,1
active_denominator_min50pct_coverage,Coherent,2002,0
active_denominator_min50pct_coverage,Coherent,2003,2
active_denominator_min50pct_coverage,Coherent,2004,0
active_denominator_min50pct_coverage,Coherent,2005,0
active_denominator_min50pct_coverage,Coherent,2006,11
active_denominator_min50pct_coverage,Coherent,2007,1
active_denominator_min50pct_coverage,Coherent,2008,1
active_denominator_min50pct_coverage,Coherent,2009,2
